condition,backbone,accuracy,macro_f1,mean_max_confidence,prediction_consistency,cosine_stability
grayscale,resnet50,0.968,0.9682427818489542,0.8894613311655096,0.968,0.8069759796493637
grayscale,vit_b16,0.96,0.9599951985594718,0.9376263742622626,0.966,0.7411202231744137
grayscale,clip_vit_b32,0.954,0.9534759817500882,0.19579763432913422,0.964,0.8833105691531061
grayscale,clip_vit_b32_zero_shot,0.928,0.9259583774714347,0.9240206306559032,0.946,0.8833105691531061
hue,resnet50,0.94,0.9402249045738644,0.8734561453502524,0.942,0.7626631188394207
hue,vit_b16,0.968,0.9678611317398943,0.9220752513795364,0.97,0.7124269277168198
hue,clip_vit_b32,0.956,0.9559807180579446,0.18756592107546577,0.958,0.8820572310273941
hue,clip_vit_b32_zero_shot,0.93,0.9284009547647429,0.9199858576731115,0.948,0.8820572310273941
shuffle,resnet50,0.9,0.9017877388443033,0.8656715466768666,0.908,0.6941158532490669
shuffle,vit_b16,0.912,0.9123892065523229,0.8511438932164438,0.912,0.6330829682607664
shuffle,clip_vit_b32,0.798,0.7983307666813008,0.15352604699399516,0.796,0.7519916664811965
shuffle,clip_vit_b32_zero_shot,0.782,0.7826119623904961,0.7669124851410164,0.78,0.7519916664811965
translate_left_8,resnet50,0.978,0.9781350483187575,0.8808275367918376,0.984,0.9723670449655181
translate_left_8,vit_b16,0.974,0.9739965991797259,0.9436762213421881,0.986,0.9483295002820427
translate_left_8,clip_vit_b32,0.966,0.9659432774863508,0.20562550183442943,0.97,0.9778911059502541
translate_left_8,clip_vit_b32_zero_shot,0.93,0.9276885521526019,0.9343345279533553,0.96,0.9778911059502541
translate_right_8,resnet50,0.98,0.9800630540226336,0.879826582289834,0.988,0.9673014304538983
translate_right_8,vit_b16,0.978,0.9779767849534053,0.9426588403351667,0.988,0.948718245930703
translate_right_8,clip_vit_b32,0.98,0.9799546408772045,0.20590155517287292,0.976,0.977259731370727
translate_right_8,clip_vit_b32_zero_shot,0.936,0.9339715941590689,0.9332935985013958,0.958,0.977259731370727
translate_up_8,resnet50,0.978,0.9780146240314307,0.8836221221242121,0.984,0.9664544492826033
translate_up_8,vit_b16,0.984,0.984036226671887,0.9462752483594481,0.984,0.9410622660583786
translate_up_8,clip_vit_b32,0.978,0.9777565726341635,0.20622518225094563,0.988,0.9769854387550979
translate_up_8,clip_vit_b32_zero_shot,0.946,0.9447254997177673,0.9348602016922185,0.962,0.9769854387550979
translate_down_8,resnet50,0.974,0.974070533425445,0.8828031312265773,0.99,0.9661497505764443
translate_down_8,vit_b16,0.988,0.988034860663889,0.9464232567473434,0.988,0.9431837846337436
translate_down_8,clip_vit_b32,0.966,0.9658496617628994,0.20646448634107056,0.966,0.9770758686850074
