task,method,kind,path,true_class,method_prediction,erm_prediction,confidence
task3,DAN-DG,confident_error,sketch/dog/06116.jpg,dog,elephant,elephant,0.9983
task3,DAN-DG,confident_error,sketch/dog/06071.jpg,dog,elephant,elephant,0.9972
task3,DAN-DG,confident_error,sketch/person/09978.jpg,person,giraffe,person,0.9967
task3,DAN-DG,confident_error,sketch/house/09775.jpg,house,guitar,horse,0.9967
task3,DAN-DG,confident_error,sketch/dog/06065.jpg,dog,elephant,elephant,0.9962
task3,DAN-DG,fixed_vs_erm,sketch/guitar/08823.jpg,guitar,guitar,elephant,1.0
task3,DAN-DG,fixed_vs_erm,sketch/guitar/08761.jpg,guitar,guitar,elephant,1.0
task3,DAN-DG,fixed_vs_erm,sketch/guitar/08680.jpg,guitar,guitar,dog,1.0
task3,DAN-DG,fixed_vs_erm,sketch/guitar/08659.jpg,guitar,guitar,elephant,1.0
task3,DAN-DG,fixed_vs_erm,sketch/guitar/08817.jpg,guitar,guitar,elephant,1.0
task3,DAN-DG,broken_vs_erm,sketch/person/09978.jpg,person,giraffe,person,0.9967
task3,DAN-DG,broken_vs_erm,sketch/person/09949.jpg,person,giraffe,person,0.9917
task3,DAN-DG,broken_vs_erm,sketch/horse/09281.jpg,horse,giraffe,horse,0.9856
task3,DAN-DG,broken_vs_erm,sketch/dog/06196.jpg,dog,giraffe,dog,0.9716
task3,DAN-DG,broken_vs_erm,sketch/person/09897.jpg,person,giraffe,person,0.9705
task3,SAM,confident_error,sketch/dog/06566.jpg,dog,horse,horse,0.9985
task3,SAM,confident_error,sketch/dog/06598.jpg,dog,horse,horse,0.9946
task3,SAM,confident_error,sketch/giraffe/08194.jpg,giraffe,horse,horse,0.9921
task3,SAM,confident_error,sketch/giraffe/07719.jpg,giraffe,horse,horse,0.9916
task3,SAM,confident_error,sketch/giraffe/08270.jpg,giraffe,horse,horse,0.9883
task3,SAM,fixed_vs_erm,sketch/house/09783.jpg,house,house,horse,0.9992
task3,SAM,fixed_vs_erm,sketch/guitar/08681.jpg,guitar,guitar,giraffe,0.9988
task3,SAM,fixed_vs_erm,sketch/guitar/08914.jpg,guitar,guitar,elephant,0.9967
task3,SAM,fixed_vs_erm,sketch/house/09823.jpg,house,house,person,0.9943
task3,SAM,fixed_vs_erm,sketch/guitar/08544.jpg,guitar,guitar,giraffe,0.9942
task3,SAM,broken_vs_erm,sketch/horse/09252.jpg,horse,elephant,horse,0.9588
task3,SAM,broken_vs_erm,sketch/giraffe/08179.jpg,giraffe,horse,giraffe,0.9571
task3,SAM,broken_vs_erm,sketch/giraffe/08022.jpg,giraffe,horse,giraffe,0.8854
task3,SAM,broken_vs_erm,sketch/giraffe/07978.jpg,giraffe,horse,giraffe,0.8821
task3,SAM,broken_vs_erm,sketch/giraffe/07944.jpg,giraffe,horse,giraffe,0.8577
