score,split,n,mean,p05,median,p95
MSP,known_test,10000,0.0239,0.0001,0.0005,0.1777
MSP,near_unknown,800,0.1106,0.0002,0.0239,0.4885
MSP,far_unknown,800,0.1946,0.0008,0.1187,0.5799
MLS,known_test,10000,-8.9953,-11.086,-9.2518,-5.7392
MLS,near_unknown,800,-6.9796,-10.0331,-6.9713,-3.6251
MLS,far_unknown,800,-5.8551,-9.3643,-5.6188,-2.9603
Energy,known_test,10000,-9.0246,-11.086,-9.2523,-5.9484
Energy,near_unknown,800,-7.1185,-10.0333,-7.0455,-4.2102
Energy,far_unknown,800,-6.1101,-9.365,-5.8335,-3.6722
Mahalanobis,known_test,10000,807.3766,133.3797,450.611,2956.411
Mahalanobis,near_unknown,800,1933.6953,245.5237,1800.0609,4089.273
Mahalanobis,far_unknown,800,2826.8525,909.4192,2915.068,4737.8951
