file,content_class,style_class,resnet50_prediction,resnet50_type,vit_b16_prediction,vit_b16_type,clip_vit_b32_prediction,clip_vit_b32_type,clip_vit_b32_zero_shot_prediction,clip_vit_b32_zero_shot_type,shape_decisions,texture_decisions
airplane_content_bird_style_000.png,airplane,bird,bird,texture,bird,texture,airplane,shape,airplane,shape,2,2
airplane_content_bird_style_001.png,airplane,bird,bird,texture,airplane,shape,airplane,shape,airplane,shape,3,1
airplane_content_bird_style_002.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,ship,other,3,0
airplane_content_bird_style_003.png,airplane,bird,deer,other,airplane,shape,airplane,shape,airplane,shape,3,0
airplane_content_bird_style_004.png,airplane,bird,deer,other,airplane,shape,deer,other,deer,other,1,0
airplane_content_bird_style_005.png,airplane,bird,deer,other,airplane,shape,airplane,shape,airplane,shape,3,0
airplane_content_bird_style_006.png,airplane,bird,cat,other,airplane,shape,cat,other,deer,other,1,0
airplane_content_bird_style_007.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_008.png,airplane,bird,bird,texture,airplane,shape,airplane,shape,airplane,shape,3,1
airplane_content_bird_style_009.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_010.png,airplane,bird,bird,texture,airplane,shape,cat,other,bird,texture,1,2
airplane_content_bird_style_011.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_012.png,airplane,bird,bird,texture,airplane,shape,airplane,shape,airplane,shape,3,1
airplane_content_bird_style_013.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_014.png,airplane,bird,bird,texture,airplane,shape,bird,texture,bird,texture,1,3
airplane_content_bird_style_015.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_016.png,airplane,bird,airplane,shape,airplane,shape,airplane,shape,airplane,shape,4,0
airplane_content_bird_style_017.png,airplane,bird,bird,texture,airplane,shape,car,other,bird,texture,1,2
airplane_content_bird_style_018.png,airplane,bird,bird,texture,airplane,shape,airplane,shape,airplane,shape,3,1
bird_content_airplane_style_000.png,bird,airplane,airplane,texture,bird,shape,bird,shape,bird,shape,3,1
bird_content_airplane_style_001.png,bird,airplane,airplane,texture,bird,shape,bird,shape,bird,shape,3,1
bird_content_airplane_style_002.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_003.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_004.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_005.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_006.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_007.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_008.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_009.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_010.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
bird_content_airplane_style_011.png,bird,airplane,bird,shape,bird,shape,bird,shape,bird,shape,4,0
car_content_cat_style_000.png,car,cat,cat,texture,car,shape,car,shape,car,shape,3,1
car_content_cat_style_001.png,car,cat,horse,other,car,shape,car,shape,car,shape,3,0
car_content_cat_style_002.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_003.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_004.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_005.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_006.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_007.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_008.png,car,cat,cat,texture,car,shape,car,shape,car,shape,3,1
car_content_cat_style_009.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
car_content_cat_style_010.png,car,cat,cat,texture,car,shape,car,shape,car,shape,3,1
car_content_cat_style_011.png,car,cat,car,shape,car,shape,car,shape,truck,other,3,0
car_content_cat_style_012.png,car,cat,car,shape,car,shape,car,shape,car,shape,4,0
cat_content_car_style_000.png,cat,car,car,texture,car,texture,truck,other,car,texture,0,3
